config,adjusted_edge_jaccard,division_jaccard,proxy_score,div_tp,div_fp,div_fn,missed_gt_nodes,spurious_pred_nodes,edges_recovered,edges_fragmented,edges_lost_to_detection,wrong_association_edges,n_samples,seconds,overrides
tight55,0.9283534712877309,0.3076923076923077,0.9591227020569617,4,1,8,63,182951,5540,132,79,0,8,1051.3564529418945,"{""MOTION_RELINK_TIGHT_UM"": 5.5}"
combo(tight55+relaxed9),0.9287288145373076,0.2857142857142857,0.9573002431087362,4,2,8,65,182898,5538,133,80,0,8,1047.847831249237,"{""MOTION_RELINK_RELAXED_UM"": 9.0, ""MOTION_RELINK_TIGHT_UM"": 5.5}"
relaxed9,0.9269764932416186,0.2857142857142857,0.9555479218130472,4,2,8,66,182887,5533,136,82,0,8,1050.619294166565,"{""MOTION_RELINK_RELAXED_UM"": 9.0}"
vw060,0.9266304627264574,0.2857142857142857,0.955201891297886,4,2,8,62,182920,5538,136,77,0,8,1047.4641754627228,"{""MOTION_RELINK_VELOCITY_WEIGHT"": 0.6}"
dcgap035,0.9261596977188709,0.2857142857142857,0.9547311262902994,4,2,8,63,182854,5536,136,79,0,8,1033.4055655002594,"{""DEEPCENTER_GAP_THRESHOLD"": 0.35}"
gap45,0.9261579112464079,0.2857142857142857,0.9547293398178365,4,2,8,63,182878,5536,136,79,0,8,1023.0480072498322,"{""GAP_CLOSE_UM"": 4.5}"
bonus125,0.9261501544174587,0.2857142857142857,0.9547215829888873,4,2,8,63,182937,5536,136,79,0,8,1035.2097585201263,"{""MOTION_RELINK_LEARNED_BONUS"": 1.25}"
base,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1056.4036264419556,{}
gap2step40,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1045.8270680904388,"{""GAP2_MAX_STEP_UM"": 4.0}"
reuse28,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1043.8710720539093,"{""GAP_CLOSE_REUSE_UM"": 2.8}"
rp-pdiv30,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1048.982858657837,"{""REPARENT_MIN_PDIV"": 0.3}"
rp-ep35,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1040.8277416229248,"{""REPARENT_EDGE_PROB"": 0.35}"
rp-far8,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1041.2748260498047,"{""REPARENT_CURRENT_FAR_UM"": 8.0}"
rp-max11,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,922.7039890289307,"{""REPARENT_MAX_UM"": 11.0}"
gap2step48,0.9261416871541029,0.2857142857142857,0.9547131157255315,4,2,8,63,182941,5536,136,79,0,8,1041.1130969524384,"{""GAP2_MAX_STEP_UM"": 4.8}"
rp-tau08,0.9261358231931083,0.2857142857142857,0.9547072517645369,4,2,8,63,182951,5536,136,79,0,8,1035.6214921474457,"{""REPARENT_TAU"": 0.8}"
minlen5,0.9249043076035963,0.2857142857142857,0.9534757361750249,4,2,8,61,185439,5536,138,77,0,8,1045.2014253139496,"{""OUTPUT_MIN_TRACK_LEN"": 5}"
rp-off,0.9259602299143423,0.23076923076923078,0.9490371529912655,3,1,9,63,182969,5535,137,79,0,8,431.2102780342102,"{""REPARENT_ENABLE"": false}"
