Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16454292,"Sergio Alvarez","2026-09-14 23:04:29",0.970,74,sersasj
2,16531860,"Soheil Ayati","2026-09-15 02:04:54",0.968,61,soheilayati
3,16455316,Tang,"2026-09-15 05:43:04",0.966,143,hirotetsu
4,16675792,unicellular,"2026-09-15 05:16:05",0.966,128,aliozanmemetoglu
5,16454395,yu4u,"2026-09-14 10:15:20",0.965,90,ren4yu
6,16494792,z7777,"2026-09-15 01:10:41",0.962,76,songqizhou
7,16512330,tatsutaka,"2026-09-14 18:49:40",0.960,56,tatsutaka
8,16535813,slime,"2026-09-15 05:55:50",0.959,118,"eijixxx,gaopengren"
9,16552030,"Ryo Hasegawa","2026-09-15 00:29:29",0.959,73,ryohasegawa926
10,16557044,"que la cuenten como quieran","2026-09-10 05:46:40",0.958,8,germanjurado1
11,16486532,enddl22,"2026-09-15 03:15:09",0.958,180,enddl22
12,16575814,"Umesh Arampath","2026-09-15 00:05:08",0.958,122,uarampath
13,16573101,"Masha Mikhisor","2026-09-14 08:23:54",0.958,40,mikhisor
14,16454235,"Vibes & Edges Trade-Off","2026-09-15 00:22:35",0.957,343,"dorainren,i2nfinit3y,tahaalshatiri,tom99763,weishanshan033"
15,16461350,TWEAK,"2026-09-14 22:26:40",0.957,311,"antonoof,l1ghtsource,markdjadchenko,tweakai,varianceofx"
16,16679305,Corwin,"2026-09-15 00:00:34",0.957,49,"corwin1979,mathisbaguette"
17,16596911,"Michael Hernandez","2026-09-14 05:45:59",0.957,99,michaelhernandez4
18,16855245,BorisV,"2026-09-14 22:46:39",0.956,18,bvoskresenskii
19,16459877,laughingmen,"2026-09-14 16:05:08",0.956,30,laughingmen
20,16468866,"Filip Strzałka","2026-09-14 21:38:38",0.955,123,snufkin77
21,16839023,Coo-coo,"2026-09-15 01:24:50",0.955,54,richardsilence
22,16490270,"Tony Li","2026-09-15 00:24:23",0.955,138,tonylica
23,16462523,hikarimaru,"2026-09-12 22:03:25",0.954,72,hikarimaru
24,16532033,SBWH,"2026-09-09 08:11:32",0.954,90,"adityaravi2,aikyatansinha,r1cksync,vamshikrishnaemmadi,yash9439"
25,16696849,"fromage _","2026-09-15 00:06:02",0.954,107,fromagesea
26,16741203,farmer,"2026-09-14 14:07:17",0.954,91,trnhip
27,16734955,Jongwon,"2026-09-15 00:07:27",0.954,103,impala9397
28,16747091,heliosli,"2026-09-13 10:13:36",0.953,35,heliosli
29,16696904,Makotu,"2026-09-14 10:11:33",0.953,84,mhyodo
30,16734921,SoichiOzaki,"2026-09-15 00:05:32",0.953,75,soichiozaki
31,16750423,"Deniz Özaydın","2026-09-15 02:25:55",0.953,31,"deniz143wow,seymenaltnel"
32,16671090,"tomohito shimura","2026-09-12 03:12:17",0.952,32,tomohitoshimura
33,16605065,"Lê Quang Cảnh","2026-09-14 17:00:46",0.952,60,zhincez
34,16863417,rode1234,"2026-09-14 08:45:44",0.952,11,rode1234
35,16719036,"Christoffer Thimsen","2026-09-14 15:06:48",0.952,11,lowasitgoes
36,16738423,Vodolay,"2026-09-14 11:49:22",0.952,53,lacsirjohn
37,16600445,goh,"2026-09-10 02:52:37",0.952,24,bungohatayama
38,16667756,LeeDongHyuk,"2026-09-15 00:03:39",0.952,189,odyssey189
39,16454333,aaa,"2026-09-13 14:22:38",0.952,24,liuyuq
40,16838442,ispromashka,"2026-09-15 00:03:41",0.952,38,ispromashka
41,16497562,"Matthew Huang","2026-09-12 20:09:25",0.952,21,matthewwh
42,16497717,kkunizaw,"2026-09-14 23:34:12",0.952,108,kkunizaw
43,16758580,MTADA,"2026-09-14 22:05:06",0.952,21,masarutada
44,16577431,mi6,"2026-09-14 15:28:58",0.951,156,"aimixo,elisami6,meikintom,pauboncompte,zhongbapapapa"
45,16460638,"Mark Cooper","2026-09-09 15:38:31",0.951,121,markjcooper
46,16545035,Zyy7390,"2026-09-12 04:11:47",0.951,68,zyy7390
47,16792456,Timass,"2026-09-14 07:59:03",0.951,13,timmass2
48,16567229,tokitamago,"2026-09-09 04:05:35",0.951,6,tokitamago
49,16533889,keitarokawada,"2026-09-13 20:05:11",0.951,31,keitarokawada
50,16483723,Homii_N,"2026-09-15 02:32:30",0.951,13,homeshwarrao
51,16533694,yuto083,"2026-09-15 00:02:25",0.951,152,yuto0712
52,16775607,"Boopathi Raja","2026-09-14 05:19:37",0.950,32,yanggod
53,16610493,"Will Rice","2026-09-15 00:01:25",0.950,103,willrice
54,16710390,SZ_00_zyz,"2026-09-10 03:08:09",0.950,48,sz00zyz
55,16458140,automatylicza,"2026-09-15 00:03:33",0.950,48,automatylicza
56,16744532,"Jun AKita","2026-09-14 20:02:13",0.950,13,junakita
57,16846788,Luck^2,"2026-09-15 03:05:48",0.950,14,rlhjansen
58,16810028,BOB,"2026-09-15 03:10:05",0.950,27,hotpotbro
59,16883059,"Jiwei Liu","2026-09-15 01:35:08",0.950,11,jiweiliu
60,16462662,Amin,"2026-09-14 22:51:41",0.950,112,aminvafaei
61,16737441,junicus,"2026-09-11 20:31:54",0.950,22,junicus
62,16718685,yesterdays_rebel,"2026-09-14 16:49:55",0.949,9,irfanparaniya
63,16751200,NycteacoBa,"2026-09-13 21:59:41",0.949,22,nycteaowl
64,16611347,MustafaA,"2026-09-15 05:30:46",0.949,51,mustafaa
65,16802678,Haily_mary,"2026-09-14 10:53:03",0.949,34,hailymary
66,16614956,"TalhaBacak ","2026-09-13 08:05:00",0.949,33,talhabacak
67,16594092,HumbleHumbert,"2026-09-14 14:34:57",0.949,198,humblehumbert
68,16812172,"Xie Zejian","2026-09-14 23:32:42",0.949,46,xiezejian
69,16470019,"Madhur Shyam Maurya","2026-09-14 22:37:12",0.949,38,madhurmaurya
70,16539147,atrei_des,"2026-09-14 13:26:03",0.949,87,dmitrygertsovsky
71,16891035,"Ndabenhle Ngema","2026-09-14 23:56:09",0.949,4,ndabenhlengema
72,16535220,"Wang Yibin","2026-09-11 07:42:59",0.949,17,wklyb1
73,16479761,codebeforework,"2026-09-14 20:20:40",0.949,100,codebeforework
74,16693480,"Ankit Hemant Lade","2026-09-13 23:33:14",0.949,84,ankitlade12
75,16568564,t-enstar,"2026-09-15 03:07:26",0.949,28,tstustatama
76,16508104,"sixue yang","2026-09-15 01:37:11",0.949,117,"guojie66,sixueyang,xildeg,yaoyangmeng"
77,16453693,"Pilkwang Kim","2026-09-15 03:25:02",0.949,174,pilkwang
78,16530936,HiroyukiSasaki,"2026-09-09 11:43:11",0.949,66,hiroyukisasaki815
79,16470905,"Going down in 3, 2, 1…","2026-09-14 05:17:14",0.948,175,felipekitamura
80,16655148,"Ben Pepper","2026-09-11 06:30:56",0.948,68,bhpepper
81,16458268,PavelLiashkov,"2026-09-15 10:31:01",0.948,195,bigbag1983
82,16806837,rutilo,"2026-09-14 21:20:14",0.948,32,rutilo
83,16760501,AibePC,"2026-09-14 18:23:48",0.948,39,xsmaxpc
84,16583118,Georgvm1,"2026-09-15 00:02:16",0.948,79,georgvm1
85,16477956,AndreyK56,"2026-09-14 11:58:27",0.948,53,andronhl
86,16482033,zentropy,"2026-09-15 04:23:00",0.948,324,jessky
87,16690735,"Ivan Gevorkov","2026-09-14 19:15:31",0.948,80,ivangevorkov
88,16541144,Cexesti,"2026-09-14 07:26:17",0.948,62,cexesti
89,16705950,hana87hana,"2026-09-15 00:38:32",0.948,22,hana87hana
90,16544805,"Cellular Mind","2026-09-11 19:16:15",0.948,26,houjinghuang
91,16808882,TheMightiestMan,"2026-09-14 08:40:16",0.948,40,themightiestman
92,16751042,"Majid Aleissa","2026-09-14 17:54:48",0.948,82,majidaleissa
93,16573219,Agon,"2026-09-14 20:20:10",0.948,170,"chugangyi,sunyouran,xinpeng1998"
94,16454661,"Matt Goldfield","2026-09-15 02:17:25",0.948,236,mgoldfield
95,16720356,youill0317,"2026-09-14 07:59:41",0.948,92,youill0317
96,16455128,"Go Go Go","2026-09-15 00:41:41",0.948,104,"lingyu07,lixin73"
97,16796396,"Satoshi Nguyen","2026-09-14 08:48:43",0.948,45,satoshinguyenai
98,16796493,T-Hans7,"2026-09-14 06:24:18",0.948,17,"asd242538a,eiffellu,sowsowa,thans7"
99,16578167,rekhasri,"2026-09-10 20:12:10",0.948,65,rekhasri
100,16832772,LIH.YUN,"2026-09-14 18:49:40",0.948,53,"fxlcee,guming886,remusswift"
101,16461330,sakshigoel15,"2026-09-14 07:07:43",0.948,18,sakshigoel15
