adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.9471954782815818,base,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44174,44b6_12dfb391,44956,58672.0,806,0
0.8048676519507676,base,1,0,0.0,0,25,31,0.8181818181818182,252,17,8,252,5,27,21968,44b6_267148e4,22243,19130.0,308,0
0.8818199098256577,base,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,39925,44b6_2a2eff9f,40139,56367.0,231,0
0.9773909289091475,base,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8201,44b6_341df25f,8415,7436.0,209,0
0.9829874384981172,base,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4929,6bba_062c8d37,5853,6030.0,905,0
0.8083532760989668,base,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,6,28841,6bba_07e24132,29174,21485.0,365,0
0.9950869900249553,base,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7106,6bba_085bf656,8299,8463.0,1170,0
0.8910581134757357,base,4,0,0.0,0,94,132,0.8871692461308038,1777,77,17,1777,13,24,27816,6bba_09961292,29753,31117.0,2003,0
0.9472175634608448,gap45,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44160,44b6_12dfb391,44942,58672.0,806,0
0.8049489141282137,gap45,1,0,0.0,0,25,31,0.8181818181818182,252,17,8,252,5,28,21949,44b6_267148e4,22224,19130.0,308,0
0.8818472814640785,gap45,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,41,39907,44b6_2a2eff9f,40121,56367.0,231,0
0.9774442065111921,gap45,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8197,44b6_341df25f,8411,7436.0,209,0
0.9829874384981172,gap45,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,4,4929,6bba_062c8d37,5853,6030.0,905,0
0.8083532760989668,gap45,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,6,28841,6bba_07e24132,29174,21485.0,365,0
0.9950869900249553,gap45,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7106,6bba_085bf656,8299,8463.0,1170,0
0.891075219930332,gap45,4,0,0.0,0,94,132,0.8871692461308038,1777,77,17,1777,13,26,27810,6bba_09961292,29747,31117.0,2003,0
0.9471860132047548,tight55,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44180,44b6_12dfb391,44962,58672.0,806,0
0.8132306475473966,tight55,1,0,0.0,0,24,29,0.826797385620915,253,16,8,253,5,30,21994,44b6_267148e4,22269,19130.0,306,0
0.8818366369380259,tight55,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,39914,44b6_2a2eff9f,40128,56367.0,231,0
0.9773909289091475,tight55,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8201,44b6_341df25f,8415,7436.0,209,0
