adjusted_edge_jaccard,apply_rlf,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,tight_override,veto_mode,weight,wrong_association_edges
0.9471970557943864,False,ref,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,24,44173,44b6_12dfb391,44955,58672.0,,0,806,0
0.8191175134755299,False,ref,0,0,1.0,1,23,28,0.8327868852459016,254,15,8,254,5,29,21995,44b6_267148e4,22270,19130.0,,0,305,0
0.8818488021106574,False,ref,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,40,39906,44b6_2a2eff9f,40120,56367.0,,0,231,0
0.9774175677101697,False,ref,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,11,8199,44b6_341df25f,8413,7436.0,,0,209,0
0.9829224228764097,False,ref,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,5,4933,6bba_062c8d37,5857,6030.0,,0,905,0
0.8154238814830771,False,ref,2,0,0.0,0,38,18,0.8457300275482094,307,6,32,307,26,7,28851,6bba_07e24132,29184,21485.0,,0,363,0
0.9951691374520159,False,ref,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7099,6bba_085bf656,8292,8463.0,,0,1170,0
0.8952613288605982,False,ref,4,0,0.0,0,91,126,0.8913370055082624,1780,74,17,1780,13,25,27810,6bba_09961292,29747,31117.0,,0,1997,0
0.9472033658456044,False,tight_45,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,25,44169,44b6_12dfb391,44951,58672.0,4.5,0,806,0
0.7932187241792151,False,tight_45,0,0,1.0,1,27,33,0.8064516129032258,250,18,9,250,6,30,21995,44b6_267148e4,22269,19130.0,4.5,0,310,0
0.9064259409444507,False,tight_45,0,1,0.5,1,10,17,0.8810572687224669,200,10,0,200,0,40,39923,44b6_2a2eff9f,40137,56367.0,4.5,0,227,0
0.9774841647127256,False,tight_45,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,10,8194,44b6_341df25f,8408,7436.0,4.5,0,209,0
0.9896415924810537,False,tight_45,0,1,0.5,1,8,4,0.9866962305986696,890,2,6,890,6,6,4926,6bba_062c8d37,5850,6030.0,4.5,0,902,0
0.820268592889553,False,tight_45,2,0,0.0,0,37,17,0.850828729281768,308,5,32,308,26,4,28869,6bba_07e24132,29202,21485.0,4.5,0,362,0
0.9951574021052929,False,tight_45,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7100,6bba_085bf656,8293,8463.0,4.5,0,1170,0
0.8851491111179118,False,tight_45,4,1,0.0,0,98,141,0.8812127236580517,1773,81,17,1773,13,22,27790,6bba_09961292,29727,31117.0,4.5,0,2012,0
0.9472002108199954,False,tight_50,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,25,44171,44b6_12dfb391,44953,58672.0,5.0,0,806,0
