name,size,creationDate
sample_submission.csv,890,2026-06-26 17:59:59.892000
test/44b6_0113de3b.zarr/0/c/0/0/0/0,4469062,2026-06-26 18:43:16.119000
test/44b6_0113de3b.zarr/0/c/1/0/0/0,4469190,2026-06-26 18:43:14.673000
test/44b6_0113de3b.zarr/0/c/10/0/0/0,4515445,2026-06-26 18:43:18.934000
test/44b6_0113de3b.zarr/0/c/11/0/0/0,4516058,2026-06-26 18:43:16.614000
test/44b6_0113de3b.zarr/0/c/12/0/0/0,4528017,2026-06-26 18:43:11.431000
test/44b6_0113de3b.zarr/0/c/13/0/0/0,4526084,2026-06-26 18:43:12.349000
test/44b6_0113de3b.zarr/0/c/14/0/0/0,4529726,2026-06-26 18:43:14.539000
test/44b6_0113de3b.zarr/0/c/15/0/0/0,4535215,2026-06-26 18:43:16.249000
test/44b6_0113de3b.zarr/0/c/16/0/0/0,4528055,2026-06-26 18:43:19.141000
test/44b6_0113de3b.zarr/0/c/17/0/0/0,4542855,2026-06-26 18:43:22.769000
test/44b6_0113de3b.zarr/0/c/18/0/0/0,4550184,2026-06-26 18:43:22.071000
test/44b6_0113de3b.zarr/0/c/19/0/0/0,4553492,2026-06-26 18:43:12.608000
test/44b6_0113de3b.zarr/0/c/2/0/0/0,4476621,2026-06-26 18:43:10.659000
test/44b6_0113de3b.zarr/0/c/20/0/0/0,4563882,2026-06-26 18:43:14.888000
test/44b6_0113de3b.zarr/0/c/21/0/0/0,4567445,2026-06-26 18:43:16.499000
test/44b6_0113de3b.zarr/0/c/22/0/0/0,4579719,2026-06-26 18:43:22.669000
test/44b6_0113de3b.zarr/0/c/23/0/0/0,4594410,2026-06-26 18:43:09.216000
test/44b6_0113de3b.zarr/0/c/24/0/0/0,4597636,2026-06-26 18:43:15.079000
test/44b6_0113de3b.zarr/0/c/25/0/0/0,4595113,2026-06-26 18:43:09.307000
test/44b6_0113de3b.zarr/0/c/26/0/0/0,4611850,2026-06-26 18:43:23.201000
test/44b6_0113de3b.zarr/0/c/27/0/0/0,4614647,2026-06-26 18:43:21.750000
test/44b6_0113de3b.zarr/0/c/28/0/0/0,4604972,2026-06-26 18:43:20.988000
